,City,Customer type,Gender,Product line,Offers,Tax,Total,Profit,Payment,Rating
64,Bangalore,Silver,Male,Health and Beauty,September,15.9054,318.108,82.96,Cash,7.6
65,Delhi,Platinum,Male,Health and Beauty,August,48.33175,966.635,158.7,Cash,8.5
66,Chennai,Gold,Female,Health and Beauty,July,35.36435,707.287,66.94,Ewallet,9.6
67,Bangalore,Gold,Female,Fashion Accessories,August,30.74715,614.943,85.66,Ewallet,9.9
68,Delhi,Silver,Male,Sports,March,41.35425,827.085,87.7,Ewallet,6.4
69,Delhi,Silver,Female,Health and Beauty,September,70.962325,1419.2465,94.4,Cash,4.3
70,Mumbai,Silver,Male,Food and Beverages,December,46.977,939.54,94.8,Credit card,9.6
71,Delhi,Gold,Male,Fashion Accessories,August,32.613,652.26,62.2,Cash,5.9
72,Bangalore,Silver,Female,Food and Beverages,December,7.6419,152.838,15.56,Ewallet,4.0
73,Mumbai,Platinum,Female,Electronic Accessories,October,39.01165,780.233,45.46,Cash,8.7
74,Delhi,Platinum,Male,Home and Lifestyle,July,35.281575,705.6315,72.03,Ewallet,9.4
75,Mumbai,Platinum,Female,Electronic Accessories,November,76.86625,1537.325,416.5,Credit card,5.4
76,Mumbai,Silver,Female,Fashion Accessories,August,23.1714,463.428,41.36,Credit card,8.6
77,Delhi,Silver,Female,Fashion Accessories,August,9.454725,189.0945,18.09,Credit card,5.7
78,Mumbai,Gold,Female,Food and Beverages,December,41.11275,822.255,73.1,Ewallet,6.6
79,Mumbai,Gold,Female,Health and Beauty,October,53.29975,1065.995,101.9,Cash,6.0
80,Mumbai,Silver,Female,Health and Beauty,September,31.24485,624.897,95.14,Credit card,5.5
81,Bangalore,Gold,Female,Food and Beverages,March,15.2271,304.542,90.04,Ewallet,6.4
82,Mumbai,Gold,Female,Food and Beverages,September,8.085,161.7,15.24,Ewallet,6.6
83,Hyderabad,Platinum,Female,Food and Beverages,December,16.8756,337.512,31.44,Credit card,8.3
84,Chennai,Gold,Male,Sports,March,12.838875,256.7775,44.55,Cash,6.6
85,Chennai,Normal,Female,Sports,March,30.52455,610.491,81.42,Ewallet,4.0
86,Mumbai,Silver,Male,Fashion Accessories,August,20.0865,401.73,32.6,Cash,9.9
87,Delhi,Gold,Male,Food and Beverages,December,18.14715,362.943,35.66,Credit card,7.3
88,Delhi,Gold,Male,Sports,March,47.729675,954.5935,42.47,Cash,5.7
89,Chennai,Silver,Female,Health and Beauty,September,24.25185,485.037,61.94,Cash,6.1
90,Hyderabad,Platinum,Female,Home and Lifestyle,July,99.0498,1980.996,189.52,Cash,7.02680412371134
91,Chennai,Gold,Female,Sports,March,23.5515,471.03,48.6,Ewallet,8.2
92,Delhi,Gold,Female,Sports,March,80.52765,1610.553,153.86,Ewallet,5.1
93,Bangalore,Silver,Male,Health and Beauty,September,30.4101,608.202,79.24,Credit card,8.6
94,Mumbai,Gold,Female,Health and Beauty,September,47.211875,944.2375,89.75,Credit card,6.6
95,Delhi,Platinum,Male,Electronic Accessories,October,53.1009,1062.018,97.16,Ewallet,7.2
96,Bangalore,Gold,Male,Health and Beauty,September,46.13175,922.635,878.7,Ewallet,5.1
97,Mumbai,Silver,Female,Electronic Accessories,November,148.12175,2962.435,304.7,Cash,4.1
98,Delhi,Gold,Male,Food and Beverages,December,8.308125,166.1625,15.25,Ewallet,9.3
